x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
9.7,0.0016495833333333525,0.0016082750477395926,0.00028279209483981674,4.1308285593759896e-05,0.9995659199677602,0.9995659199677602,0.5554215543848596,0.051019911199727236,1252.1756910240877,0.0012577707117748219,6.748979286669667e-05,2.2244825825735735e-07
9.75,0.0016658333333333293,0.0016080386922302876,0.00028279956589047687,5.779464110304165e-05,0.9993820468223599,0.9993820468223599,0.5553647768695847,0.05101496179786929,1252.0542184353296,0.0012573458032691007,6.767042645946409e-05,2.2289661124591008e-07
9.8,0.0016579166666666663,0.0016077596374084243,0.00028280704611388397,5.015702925824199e-05,0.9991659665887348,0.9991659665887348,0.5552980423806552,0.05100914436205279,1251.911441791031,0.0012568774998451067,6.785174512859425e-05,2.233463208393014e-07
9.85,0.0016599999999999948,0.0016074379837879445,0.00028281453551003816,5.256201621205029e-05,0.9989177550659061,0.9989177550659061,0.555221368598155,0.051002460401605935,1251.7473981344563,0.0012563658987760488,6.803375210934257e-05,2.2379739251495712e-07
9.9,0.0016458333333333464,0.0016070738407694004,0.0002828220340789393,3.875949256394598e-05,0.9986374947544172,0.9986374947544172,0.555134774437866,0.05099491152891349,1251.5621270381757,0.0012558111062042905,6.821645065439279e-05,2.2424983177796965e-07
9.95,0.0016245833333333366,0.001606667326585179,0.0002828295418205875,1.791600674815757e-05,0.9983252748150258,0.9983252748150258,0.5550382800466672,0.05098649945905296,1251.3556705951348,0.0012552132370864757,6.839984403395456e-05,2.2470364416126647e-07
10.0,0.0016333333333333015,0.0016062185682402792,0.0002828370587349826,2.7114765093022315e-05,0.9979811910240439,0.9979811910240439,0.5549319067975743,0.050977226009402,1251.1280734090205,0.0012545724151342094,6.858393553586147e-05,2.251588352257786e-07
10.05,0.001647083333333299,0.0016057277014487024,0.00028284458482212484,4.1355631884596594e-05,0.9976053457253681,0.9976053457253681,0.5548156772844232,0.05096709309921772,1250.8793825839343,0.0012538887727503473,6.87687284656695e-05,2.2561541056061112e-07
10.1,0.001655416666666613,0.0016051948705655108,0.00028285212008201404,5.0221796101102174e-05,0.9971978477792449,0.9971978477792449,0.5546896153161974,0.05095610274918755,1250.6096477133706,0.0012531624509609575,6.895422614675602e-05,2.2607337578321476e-07
10.15,0.001671249999999939,0.001604620228514627,0.0002828596645146502,6.662977148531196e-05,0.9967588125078224,0.9967588125078224,0.5545537459110066,0.05094425708095228,1250.3189208685105,0.001252393599343018,6.914043192041911e-05,2.2653273653955787e-07
10.2,0.0016462499999999232,0.0016040039367124326,0.0002828672181200335,4.2246063287490606e-05,0.9962883616375346,0.9962883616375346,0.5544080952897142,0.050931558316601344,1250.0072565858338,0.0012515823759479171,6.932734914597771e-05,2.2699349850430121e-07
10.25,0.0016654166666666044,0.0016033461649872505,0.0002828747808981637,6.207050167935388e-05,0.995786623238384,0.995786623238384,0.5542526908692229,0.050918008778140726,1249.6747118540611,0.001250728947220834,6.951498120087166e-05,2.2745566738097226e-07
10.3,0.0016583333333333172,0.0016026470914947762,0.000282882352849041,5.568624183854105e-05,0.9952537316601637,0.9952537316601637,0.554087561255417,0.05090361088693354,1249.321346100423,0.0012498334879160705,6.970333148076273e-05,2.279192489021421e-07
10.35,0.0017204166666666687,0.0016019069026295468,0.00028288993397266525,0.00011850976403712191,0.9946898274656981,0.9946898274656981,0.5539127362357696,0.050888367163113866,1248.947221176274,0.001248896181008416,6.989240339963588e-05,2.2838424882960285e-07
10.4,0.0017266666666666541,0.0016011257929325216,0.00028289752426903655,0.0001255408737341325,0.9940950573611463,0.9940950573611463,0.5537282467716144,0.050872280224973865,1248.5524013420516,0.0012479172176006297,7.008220038990099e-05,2.2885067295454635e-07
10.45,0.0017212499999999704,0.0016003039649948737,0.00028290512373815483,0.00012094603500509673,0.99346957412345,0.99346957412345,0.5535341249900895,0.050855352788324676,1248.1369532515896,0.001246896796827126,7.027272590249514e-05,2.2931852709774484e-07
10.5,0.0016958333333333038,0.0015994416293580636,0.0002829127323800201,9.639170397524022e-05,0.992813536524979,0.992813536524979,0.5533304041757562,0.0508375876658313,1247.7009459357953,0.0012458351257539485,7.046398340698526e-05,2.2978781710973179e-07
10.55,0.001714999999999985,0.001598539004410309,0.00028292035019463244,0.00011646099558967589,0.9921271092554552,0.9921271092554552,0.5531171187618973,0.050818987766321926,1247.2444507856967,0.0012447324192751343,7.06559763916713e-05,2.3025854887098519e-07
